,Locality,Ward,Pct,Total:Population of one race:White,Total:Population of one race:Black or African American,Total:Population of one race:American Indian and Alaska Native,Total:Population of one race:Asian,Total:Population of one race:Native Hawaiian and Other Pacific Islander,Total:Population of one race:Some other race,Total:Population of two or more races:,Total:Population of two or more races:Two races including Some other race,"Total:Population of two or more races:Two races excluding Some other race, and three or more races",Total:Population of two or more races:Population of two races:,Total:Population of two or more races:Population of two races:White; Black or African American,Total:Population of two or more races:Population of two races:White; American Indian and Alaska Native,Total:Population of two or more races:Population of two races:White; Asian,Total:Population of two or more races:Population of two races:Black or African American; American Indian and Alaska Native,Total:Population of two or more races:Population of two races:All other two race combinations,Total:Population of two or more races:Population of three races,Total:Population of two or more races:Population of four or more races,Yes,No,Blanks,Total Votes Cast
609,LAWRENCE,B,1,19212,1780,57,177,0,19153,1280,350,930,1224,863,4,7,0,350,56,0,339,736,51.0,"1,126"
610,LAWRENCE,B,2,19020,1162,204,233,0,17224,617,236,381,595,351,1,7,0,236,22,0,328,517,18.0,863
611,LAWRENCE,B,3,19390,1443,226,351,0,19778,1048,277,771,1026,739,3,7,0,277,22,0,395,605,24.0,"1,024"
612,LAWRENCE,B,4,14297,1918,155,126,0,11659,1043,299,744,1013,687,20,7,0,299,30,0,391,710,123.0,"1,224"
613,LAWRENCE,C,1,50742,3486,252,1844,0,18149,3051,515,2536,3034,2051,288,121,0,574,17,0,335,459,59.0,853
614,LAWRENCE,C,2,23265,1646,120,825,0,13187,957,53,904,957,865,0,0,39,53,0,0,555,617,24.0,"1,196"
615,LAWRENCE,C,3,36479,2294,0,1700,0,16481,1387,411,976,1336,529,256,121,0,430,51,0,253,490,68.0,811
616,LAWRENCE,C,4,75711,4980,64,5108,0,23986,3093,621,2472,3042,1233,768,363,0,678,51,0,360,575,24.0,959
617,LAWRENCE,D,1,30671,3245,184,1458,0,19994,1667,323,1344,1621,1224,0,0,74,323,46,0,472,585,16.0,"1,073"
618,LAWRENCE,D,2,17329,1674,80,543,0,10889,1100,191,909,1100,883,0,0,26,191,0,0,305,518,21.0,844
619,LAWRENCE,D,3,19637,2063,80,332,0,13074,1277,321,956,1269,916,19,0,13,321,8,0,234,459,28.0,721
620,LAWRENCE,D,4,20418,2678,172,956,0,16064,1689,561,1128,1647,1008,28,0,50,561,42,0,286,473,12.0,771
621,LAWRENCE,E,1,67065,5671,117,3419,0,16860,2317,605,1712,2247,1237,3,320,46,641,70,0,636,810,40.0,"1,486"
622,LAWRENCE,E,2,78994,6069,62,3710,0,14860,2828,750,2078,2804,1539,4,452,11,798,24,0,614,787,54.0,"1,455"
623,LAWRENCE,E,3,53469,5210,78,2949,0,20449,2290,873,1417,2164,998,11,203,55,897,126,0,474,516,19.0,"1,009"
624,LAWRENCE,E,4,31159,3980,117,2078,0,23027,2188,1090,1098,2043,727,36,122,68,1090,145,0,425,585,42.0,"1,052"
625,LAWRENCE,F,1,56707,4775,56,3121,0,16716,2614,987,1627,2556,1080,11,432,22,1011,58,0,659,652,23.0,"1,334"
626,LAWRENCE,F,2,47317,2924,22,3179,0,14011,2602,1019,1583,2569,911,109,514,0,1035,33,0,393,449,9.0,851
627,LAWRENCE,F,3,19360,1654,17,868,0,14383,1711,929,782,1659,554,54,122,0,929,52,0,402,498,18.0,918
628,LAWRENCE,F,4,77188,4671,120,4701,0,17591,3477,1007,2470,3425,1506,218,662,0,1039,52,0,456,528,29.0,"1,013"
629,LEE,-,1,98263,4098,495,4398,0,2842,2749,342,2407,2600,578,167,1333,0,522,149,0,"1,671","1,353",75.0,"3,099"
630,LEICESTER,-,1,112079,8854,385,8455,215,3962,3718,380,3338,3244,1563,198,989,80,414,474,0,817,709,25.0,"1,551"
631,LEICESTER,-,2,31694,930,22,310,48,187,527,24,503,381,212,15,93,33,28,146,0,768,648,19.0,"1,435"
632,LEICESTER,-,3,49318,1102,33,624,47,198,1119,175,944,1023,264,66,492,22,179,96,0,769,645,17.0,"1,431"
633,LEICESTER,-,4,41894,851,44,281,46,59,707,8,699,649,284,0,346,11,8,58,0,702,692,17.0,"1,411"
634,LENOX,-,1,76232,2292,298,1783,0,1670,2870,338,2532,2810,1386,285,741,0,398,60,0,"1,601","1,404",91.0,"3,096"
635,LEVERETT,-,1,5195,430,74,889,97,36,336,89,247,259,110,0,60,0,89,64,13,896,343,57.0,"1,296"
636,LEXINGTON,-,1,122167,4635,247,24957,0,1438,6321,188,6133,5970,1711,331,3576,80,272,307,44,888,872,39.0,"1,799"
637,LEXINGTON,-,2,73011,2862,212,17561,0,1031,4101,106,3995,3855,1189,195,2301,46,124,246,0,"1,167","1,096",42.0,"2,305"
638,LEXINGTON,-,3,14123,519,39,6603,0,325,1040,12,1028,914,342,35,525,0,12,126,0,837,896,42.0,"1,775"
639,LEXINGTON,-,4,28385,649,115,12192,0,587,1572,12,1560,1441,271,42,976,48,104,131,0,984,"1,119",61.0,"2,164"
640,LEXINGTON,-,5,52932,1129,116,15674,0,753,2100,96,2004,1930,461,97,1117,24,231,104,66,"1,005","1,148",57.0,"2,210"
641,LEXINGTON,-,6,42858,766,38,15753,0,476,1944,120,1824,1843,92,41,1437,24,249,79,22,945,"1,112",55.0,"2,112"
642,LEXINGTON,-,7,47951,1411,50,14970,0,276,2374,78,2296,2087,24,80,1825,0,158,287,0,895,"1,176",37.0,"2,108"
643,LEXINGTON,-,8,34643,286,38,14074,0,364,1917,27,1890,1766,0,66,1493,24,183,151,0,936,"1,018",51.0,"2,005"
644,LEXINGTON,-,9,49737,839,57,16180,0,600,2569,24,2545,2338,227,45,1872,36,158,231,0,933,"1,128",52.0,"2,113"
645,LINCOLN,-,2.0,3381,91,0,363,0,352,83,10,73,83,33,0,40,0,10,0,0,861,674,29.0,"1,564"
646,LINCOLN,-,1,51744,644,7,5000,0,293,1619,84,1535,1569,212,84,1187,2,84,16,34,"1,227","1,125",41.0,"2,393"
647,LINCOLN,-,2,45302,617,19,7002,0,360,1722,72,1650,1638,95,70,1349,14,110,84,0,861,674,29.0,"1,564"
648,LITTLETON,-,1,18211,340,22,3010,0,134,425,3,422,398,64,40,291,0,3,27,0,"1,153",991,25.0,"2,169"
649,LITTLETON,-,2,57293,1000,67,6499,0,222,1557,45,1512,1495,378,231,760,64,62,62,0,"1,083",932,19.0,"2,034"
650,LITTLETON,-,3,48737,1290,87,3649,0,487,1534,88,1446,1454,372,361,530,64,127,80,0,997,790,11.0,"1,798"
651,LONGMEADOW,-,A,4672,778,18,226,0,420,157,37,120,139,59,18,0,0,62,18,0,858,"1,038",27.0,"1,923"
652,LONGMEADOW,-,E,4672,778,18,226,0,420,157,37,120,139,59,18,0,0,62,18,0,770,"1,043",61.0,"1,874"
653,LOWELL,1,1,1580,313,29,532,0,193,62,17,45,62,24,0,12,0,26,0,0,568,384,50.0,"1,002"
654,LOWELL,1,2,5150,328,0,229,0,104,29,10,19,29,0,7,12,0,10,0,0,893,"1,125",111.0,"2,129"
655,LOWELL,1,3,9816,449,0,410,26,299,198,10,188,184,155,7,12,0,10,14,0,868,874,34.0,"1,776"
656,LOWELL,10,1,15349,2610,228,6584,12,1366,428,113,315,406,74,41,150,0,141,22,0,451,557,63.0,"1,071"
657,LOWELL,10,2,14176,1899,29,3546,26,973,443,63,380,408,304,15,12,0,77,35,0,402,279,21.0,702
658,LOWELL,10,3,11672,1470,58,2592,26,840,391,52,339,356,252,5,24,0,75,35,0,310,256,29.0,595
659,LOWELL,11,1,28422,2955,24,5937,78,1827,930,120,810,888,579,51,138,0,120,42,0,631,450,59.0,"1,140"
660,LOWELL,11,2,23956,1555,8,2570,78,1103,677,50,627,635,503,24,58,0,50,42,0,697,541,27.0,"1,265"
661,LOWELL,11,3,27920,1703,29,2276,78,1149,684,51,633,642,527,19,36,0,60,42,0,663,514,49.0,"1,226"
662,LOWELL,2,3,1580,313,29,532,0,193,62,17,45,62,24,0,12,0,26,0,0,922,420,50.0,"1,392"
663,LOWELL,3,2,1681,257,61,2967,0,97,167,20,147,167,102,0,45,0,20,0,0,496,269,121.0,886
664,LOWELL,3,3,3306,352,236,4507,12,258,183,20,163,182,103,0,45,0,34,1,0,467,359,50.0,876
665,LOWELL,4,1,3306,352,236,4507,12,258,183,20,163,182,103,0,45,0,34,1,0,589,545,93.0,"1,227"
666,LOWELL,4,2,4931,447,411,6047,24,419,199,20,179,197,104,0,45,0,48,2,0,374,342,47.0,763
667,LOWELL,4,3,10980,1661,416,5803,24,1055,281,64,217,258,61,12,70,0,115,23,0,436,340,62.0,838
668,LOWELL,5,3,14611,647,0,601,0,218,311,126,185,311,105,7,41,0,158,0,0,662,517,28.0,"1,207"
669,LOWELL,7,3,6511,760,440,6579,24,612,261,37,224,259,128,0,57,0,74,2,0,319,280,84.0,683
670,LOWELL,9,1,14611,647,0,601,0,218,311,126,185,311,105,7,41,0,158,0,0,591,423,0.0,"1,014"
671,LOWELL,9,2,14611,647,0,601,0,218,311,126,185,311,105,7,41,0,158,0,0,752,573,33.0,"1,358"
672,LUDLOW,-,3,34664,733,34,611,0,880,1169,429,740,1055,302,58,266,0,429,93,21,947,988,49.0,"1,984"
673,LUDLOW,-,5,12060,128,0,100,0,190,166,0,166,130,78,0,52,0,0,36,0,612,726,31.0,"1,369"
674,LUNENBURG,-,A,47488,1355,92,978,0,623,1082,122,960,1031,260,42,574,0,155,39,12,879,769,27.0,"1,675"
675,LUNENBURG,-,B,4684,500,88,166,0,436,235,20,215,215,146,28,10,0,31,20,0,806,641,31.0,"1,478"
676,LUNENBURG,-,C,18887,1889,0,774,17,1057,686,127,559,652,69,122,172,122,167,34,0,914,804,19.0,"1,737"
677,LUNENBURG,-,D,11850,1292,0,616,0,1030,478,34,444,444,22,122,114,112,74,34,0,778,757,15.0,"1,550"
678,LYNN,1,1,38175,796,33,926,0,526,1485,345,1140,1411,249,72,617,0,473,74,0,892,"1,021",49.0,"1,962"
679,LYNN,1,2,32221,593,33,890,0,2196,1005,345,660,931,169,102,315,0,345,74,0,"1,018",957,36.0,"2,011"
680,LYNN,1,3,46753,4415,115,2289,84,8232,2264,491,1773,2017,1011,102,331,0,573,247,0,"1,001",714,25.0,"1,740"
681,LYNN,1,4,32669,7260,36,3043,210,13064,2248,253,1995,1998,1457,13,152,0,376,250,0,793,745,50.0,"1,588"
682,LYNN,2,1,30605,5155,185,1931,42,7790,2417,362,2055,2115,1259,40,249,0,567,302,0,973,953,27.0,"1,953"
683,LYNN,2,2,25387,6474,90,2938,134,14327,3375,838,2537,3219,1815,13,350,56,985,156,0,497,480,171.0,"1,148"
684,LYNN,2,3,26001,9215,450,4526,50,16601,6462,1270,5192,5962,3909,91,490,56,1416,310,190,433,401,20.0,854
685,LYNN,2,4,17261,6021,86,2994,192,16438,3888,1151,2737,3841,2248,47,264,42,1240,47,0,435,432,26.0,893
686,LYNN,3,1,19811,4917,202,2073,42,8666,2928,558,2370,2824,1937,81,152,14,640,104,0,763,603,65.0,"1,431"
687,LYNN,3,2,16334,5518,360,2666,0,9948,4226,708,3518,4198,3172,108,152,28,738,0,28,711,513,24.0,"1,248"
688,LYNN,3,3,22841,7739,544,3652,0,10288,4911,508,4403,4209,2947,113,462,14,673,364,338,614,548,83.0,"1,245"
689,LYNN,3,4,26665,6677,308,3314,0,5363,3450,229,3221,2250,1358,52,461,0,379,876,324,801,584,11.0,"1,396"
690,LYNN,4,1,10026,4072,64,2101,150,12189,2906,963,1943,2859,1614,47,126,7,1065,47,0,376,294,21.0,691
691,LYNN,4,2,15392,6116,138,2737,150,13155,3979,1197,2782,3709,2088,55,234,14,1318,256,14,353,360,32.0,745
692,LYNN,4,3,21076,7176,186,2000,0,6738,2604,475,2129,1913,1162,16,198,0,537,603,88,585,415,32.0,"1,032"
693,LYNN,4,4,30272,5958,114,1637,0,4839,1842,173,1669,1165,684,43,235,0,203,603,74,707,549,30.0,"1,286"
694,LYNN,5,1,25066,5076,11,3076,84,10315,2177,298,1879,2040,1502,35,178,12,313,137,0,564,590,26.0,"1,180"
695,LYNN,5,2,11474,4242,16,2929,0,10642,2995,809,2186,2873,1957,13,42,26,835,122,0,305,323,18.0,646
696,LYNN,5,3,9719,5053,44,2455,50,11452,3175,1153,2022,3093,1774,21,58,20,1220,82,0,373,374,25.0,772
697,LYNN,5,4,35446,7979,123,3040,0,11135,3571,1433,2138,3415,1669,66,173,14,1493,156,0,592,655,110.0,"1,357"
698,LYNN,6,1,13415,3729,91,2603,0,7428,1612,303,1309,1514,1047,35,102,12,318,98,0,489,437,36.0,962
699,LYNN,6,2,26390,6682,299,6222,0,10004,2528,620,1908,2416,1546,66,163,12,629,112,0,350,270,48.0,668
700,LYNN,6,3,23340,5890,42,5512,0,10378,3222,1120,2102,3180,1836,54,112,26,1152,42,0,461,495,26.0,982
701,LYNN,6,4,30199,8113,244,5927,0,9973,2959,962,1997,2866,1589,83,191,0,1003,93,0,433,370,44.0,847
702,LYNN,7,1,48170,6346,11,3104,0,8241,2221,259,1962,2069,875,122,738,0,334,152,0,937,740,36.0,"1,713"
703,LYNN,7,2,38523,7460,193,4219,0,11179,2222,441,1781,2033,1090,103,339,0,501,189,0,771,674,36.0,"1,481"
704,LYNN,7,3,17890,5046,182,3739,0,8194,1571,375,1196,1490,845,69,162,6,408,81,0,584,491,17.0,"1,092"
705,LYNN,7,4,21037,5910,273,2695,0,7172,943,204,739,813,298,54,197,0,264,130,0,713,527,26.0,"1,266"
706,LYNNFIELD,-,1,66900,730,0,2978,0,199,1075,30,1045,1075,302,213,295,0,265,0,0,746,"1,149",14.0,"1,909"
707,LYNNFIELD,-,2,59682,1728,11,2021,0,527,1665,327,1338,1631,381,72,509,22,647,34,0,811,"1,145",18.0,"1,974"
708,LYNNFIELD,-,3,55332,1613,123,2026,0,328,1213,0,1213,1213,558,79,234,22,320,0,0,705,"1,023",28.0,"1,756"
709,LYNNFIELD,-,4,75876,766,5,2514,0,217,1283,39,1244,1270,554,258,207,4,247,13,0,768,"1,255",31.0,"2,054"
710,MALDEN,1,2,3976,510,0,346,0,15,254,18,236,254,139,0,97,0,18,0,0,780,626,88.0,"1,494"
711,MALDEN,2,2,7952,1020,0,692,0,30,508,36,472,508,278,0,194,0,36,0,0,725,652,82.0,"1,459"
712,MALDEN,3,1,22812,3640,56,6050,0,893,902,46,856,636,383,42,165,0,46,266,0,929,672,59.0,"1,660"
713,MALDEN,3,2,18836,3130,56,5704,0,878,648,28,620,382,244,42,68,0,28,266,0,"1,044",800,44.0,"1,888"
714,MALDEN,8,1,15206,1572,0,1048,0,572,436,236,200,436,112,56,0,0,268,0,0,791,742,69.0,"1,602"
715,MALDEN,8,2,20079,1889,96,1161,0,651,477,250,227,477,112,56,27,0,282,0,0,749,582,58.0,"1,389"
716,MANSFIELD,-,1,104047,3662,115,4273,5,1266,2231,252,1979,2023,929,206,508,73,307,208,0,"1,140","1,162",15.0,"2,317"
717,MANSFIELD,-,2,129807,4383,201,5563,0,887,1953,79,1874,1914,811,174,850,0,79,39,0,"1,121","1,133",34.0,"2,288"
718,MANSFIELD,-,4,13595,634,0,1639,0,359,607,116,491,607,180,68,221,0,138,0,0,"1,081","1,141",20.0,"2,242"
719,MANSFIELD,-,5,129286,4518,201,5617,0,787,2300,82,2218,2083,884,238,868,0,93,217,0,"1,130",839,20.0,"1,989"
720,MANSFIELD,-,6,126876,4628,201,5491,0,840,2218,140,2078,2179,891,224,902,0,162,39,0,"1,173",867,25.0,"2,065"
721,MARBLEHEAD,-,2,41918,1872,24,672,0,1536,866,192,674,726,178,30,184,0,334,46,94,"1,249","1,014",42.0,"2,305"
722,MARBLEHEAD,-,3,103375,4281,48,1824,0,3183,2107,384,1723,1827,356,60,743,0,668,92,188,"1,093",912,47.0,"2,052"
723,MARBLEHEAD,-,4,102659,4177,48,1884,0,3147,2024,405,1619,1744,356,80,619,0,689,92,188,"1,140","1,116",32.0,"2,288"
724,MARBLEHEAD,-,5,126575,4390,36,2728,0,2602,2383,330,2053,2173,267,85,1278,0,543,69,141,"1,031","1,053",28.0,"2,112"
725,MARBLEHEAD,-,6,107752,3957,36,2188,0,2527,2091,309,1782,1881,267,65,1027,0,522,69,141,"1,055","1,080",28.0,"2,163"
726,MARION,-,1,62976,690,16,646,20,1831,1575,321,1254,1520,560,67,445,6,442,55,0,"1,631","1,617",75.0,"3,323"
727,MARLBOROUGH,1,2,9148,0,0,158,0,170,150,0,150,150,0,32,118,0,0,0,0,835,870,23.0,"1,728"
728,MARLBOROUGH,3,1,6573,444,0,577,0,383,284,251,33,284,12,0,21,0,251,0,0,605,385,20.0,"1,010"
729,MARLBOROUGH,6,1,13146,888,0,1154,0,766,568,502,66,568,24,0,42,0,502,0,0,611,434,22.0,"1,067"
730,MARLBOROUGH,6,2,22294,888,0,1312,0,936,718,502,216,718,24,32,160,0,502,0,0,902,704,29.0,"1,635"
731,MARLBOROUGH,7,1,6573,444,0,577,0,383,284,251,33,284,12,0,21,0,251,0,0,616,570,20.0,"1,206"
732,MARLBOROUGH,7,2,17720,888,0,1233,0,851,643,502,141,643,24,16,101,0,502,0,0,607,584,13.0,"1,204"
733,MARSHFIELD,-,3,58609,363,12,548,7,322,875,247,628,875,240,218,170,0,247,0,0,"1,156","1,010",29.0,"2,195"
734,MARSHFIELD,-,6,58609,363,12,548,7,322,875,247,628,875,240,218,170,0,247,0,0,"1,189","1,279",30.0,"2,498"
735,MARSHFIELD,-,7,58609,363,12,548,7,322,875,247,628,875,240,218,170,0,247,0,0,"1,082","1,303",25.0,"2,410"
736,MATTAPOISETT,-,1,91819,616,32,765,40,1558,1374,283,1091,1356,548,200,313,12,283,18,0,"2,073","2,200",41.0,"4,314"
737,MAYNARD,-,1,15591,63,8,847,0,250,445,83,362,437,51,33,234,22,97,8,0,896,669,15.0,"1,580"
738,MAYNARD,-,2,46773,189,24,2541,0,750,1335,249,1086,1311,153,99,702,66,291,24,0,895,555,18.0,"1,468"
739,MAYNARD,-,3,48001,757,22,4721,0,296,1651,107,1544,1575,371,45,1016,22,121,8,68,887,660,17.0,"1,564"
740,MAYNARD,-,4,21731,939,7,2314,0,442,882,111,771,811,251,43,406,0,111,37,34,886,574,18.0,"1,478"
741,MEDFIELD,-,1,84859,3044,58,2964,0,1266,2014,606,1408,2010,433,255,716,0,606,4,0,910,"1,016",35.0,"1,961"
742,MEDFIELD,-,2,34486,220,0,2500,0,0,564,0,564,564,102,66,396,0,0,0,0,838,"1,064",48.0,"1,950"
743,MEDFIELD,-,3,17243,110,0,1250,0,0,282,0,282,282,51,33,198,0,0,0,0,861,"1,093",42.0,"1,996"
744,MEDFIELD,-,4,29966,1439,29,590,0,608,712,286,426,710,149,111,164,0,286,2,0,815,"1,034",43.0,"1,892"
745,MEDFORD,1,1,15904,2040,0,1384,0,60,1016,72,944,1016,556,0,388,0,72,0,0,989,789,58.0,"1,836"
746,MEDFORD,1,2,34476,4814,28,5935,0,604,1663,104,1559,1530,847,21,558,0,104,133,0,"1,155",771,56.0,"1,982"
747,MEDFORD,2,1,39658,6181,84,10150,0,1407,1526,78,1448,1127,664,63,322,0,78,399,0,"1,021",904,48.0,"1,973"
748,MEDFORD,2,2,47090,7825,140,14260,0,2195,1620,70,1550,955,610,105,170,0,70,665,0,"1,051",974,50.0,"2,075"
749,MEDFORD,3,1,30240,4616,56,7298,0,968,1202,64,1138,936,542,42,288,0,64,266,0,"1,111","1,022",68.0,"2,201"
750,MEDFORD,4,1,12780,1016,0,1357,2,111,691,8,683,622,296,74,178,66,8,44,25,928,306,26.0,"1,260"
751,MEDFORD,4,2,4540,662,0,309,0,59,279,0,279,238,164,74,0,0,0,16,25,"1,317",728,60.0,"2,105"
752,MEDFORD,5,1,27573,5316,81,6060,0,783,2496,84,2412,2496,1365,0,996,0,135,0,0,"1,349",551,54.0,"1,954"
753,MEDFORD,5,2,18382,3544,54,4040,0,522,1664,56,1608,1664,910,0,664,0,90,0,0,"1,010",586,47.0,"1,643"
754,MEDFORD,6,1,4540,662,0,309,0,59,279,0,279,238,164,74,0,0,0,16,25,"1,334",910,54.0,"2,298"
755,MEDFORD,6,2,4540,662,0,309,0,59,279,0,279,238,164,74,0,0,0,16,25,"1,106",882,55.0,"2,043"
756,MEDFORD,7,1,9191,1772,27,2020,0,261,832,28,804,832,455,0,332,0,45,0,0,675,512,51.0,"1,238"
757,MEDFORD,7,2,3976,510,0,346,0,15,254,18,236,254,139,0,97,0,18,0,0,674,890,92.0,"1,656"
758,MEDFORD,8,1,15380,1996,0,1940,0,105,808,54,754,808,437,0,317,0,54,0,0,"1,069","1,023",86.0,"2,178"
759,MEDFORD,8,2,18382,3544,54,4040,0,522,1664,56,1608,1664,910,0,664,0,90,0,0,"1,157",650,55.0,"1,862"
760,MEDWAY,-,1,19556,318,0,1088,0,590,361,69,292,359,75,42,70,0,172,2,0,946,879,24.0,"1,849"
761,MEDWAY,-,3,73300,3051,58,1989,0,1252,1762,629,1133,1758,373,264,398,0,723,4,0,"1,082",870,27.0,"1,979"
762,MEDWAY,-,4,26736,346,0,1618,0,72,676,114,562,676,150,84,140,0,302,0,0,"1,082",870,47.0,"1,999"
763,MELROSE,1,1,30360,570,0,1542,0,84,330,162,168,330,0,0,168,0,162,0,0,655,586,15.0,"1,256"
764,MELROSE,1,2,42066,594,0,1916,0,84,356,162,194,356,0,0,168,0,188,0,0,662,513,31.0,"1,206"
765,MELROSE,2,1,45238,285,0,1802,0,87,189,68,121,189,0,0,56,0,133,0,0,635,672,8.0,"1,315"
766,MELROSE,2,2,62797,344,0,2529,0,146,229,82,147,229,0,0,56,0,173,0,0,540,610,23.0,"1,173"
767,MELROSE,3,1,15180,285,0,771,0,42,165,81,84,165,0,0,84,0,81,0,0,629,562,26.0,"1,217"
768,MELROSE,4,1,32739,321,0,1332,0,42,204,81,123,204,0,0,84,0,120,0,0,665,472,20.0,"1,157"
769,MELROSE,4,2,35118,118,0,1454,0,118,80,28,52,80,0,0,0,0,80,0,0,577,766,19.0,"1,362"
770,MELROSE,6,1,15973,202,0,701,0,28,123,54,69,123,0,0,56,0,67,0,0,590,483,36.0,"1,109"
771,MELROSE,6,2,22432,376,96,840,0,138,81,28,53,81,0,0,27,0,54,0,0,567,663,21.0,"1,251"
772,MENDON,-,1,96034,1408,129,1195,14,1785,2705,514,2191,2360,1062,236,350,57,655,345,0,"1,849","1,690",45.0,"3,584"
773,MERRIMAC,-,1,37208,51,0,395,0,282,469,0,469,445,177,10,258,0,0,24,0,"1,027",838,29.0,"1,894"
774,MERRIMAC,-,2,29149,48,0,295,0,273,167,0,167,167,0,20,147,0,0,0,0,"1,109",904,28.0,"2,041"
775,METHUEN,-,1,79466,5119,442,5083,0,18334,4584,741,3843,4584,2547,816,363,0,858,0,0,941,954,63.0,"1,958"
776,METHUEN,-,10,13295,1211,251,241,0,8706,369,53,316,369,316,0,0,0,53,0,0,931,948,67.0,"1,946"
777,METHUEN,-,11,5520,237,126,0,0,1250,622,121,501,622,465,16,0,0,141,0,0,"1,187","1,207",40.0,"2,434"
778,METHUEN,-,2,74349,4959,190,5108,0,19893,3514,610,2904,3480,1646,784,363,0,687,34,0,467,635,79.0,"1,181"
779,METHUEN,-,3,14622,2409,177,201,0,5778,1026,78,948,1026,948,0,0,0,78,0,0,889,890,54.0,"1,833"
780,METHUEN,-,4,18590,1356,178,542,0,9055,1163,208,955,1140,872,16,0,24,228,23,0,873,943,58.0,"1,874"
781,METHUEN,-,5,93219,5694,756,5025,0,19824,6441,1095,5346,6441,3942,864,363,0,1272,0,0,881,753,54.0,"1,688"
782,METHUEN,-,6,32604,1446,630,73,0,8995,3319,637,2682,3319,2502,80,0,0,737,0,0,883,920,56.0,"1,859"
783,MIDDLEBOROUGH,-,1,40062,1282,44,262,0,407,806,89,717,768,205,261,159,54,89,38,0,"1,064","1,602",26.0,"2,692"
784,MIDDLEBOROUGH,-,2,63425,1418,0,227,0,669,1433,204,1229,1433,446,336,159,288,204,0,0,"1,059",729,32.0,"1,820"
785,MIDDLEBOROUGH,-,3,50116,655,32,478,40,548,712,182,530,702,187,81,71,60,303,10,0,"1,206","1,061",28.0,"2,295"
786,MIDDLEBOROUGH,-,4,60726,1422,0,237,0,627,1446,138,1308,1446,498,438,84,288,138,0,0,"1,055",624,29.0,"1,708"
787,MIDDLEBOROUGH,-,5,41219,919,23,337,0,409,988,46,942,988,301,358,187,96,46,0,0,"1,190","1,040",17.0,"2,247"
788,MIDDLEBOROUGH,-,6,43097,730,46,398,0,566,1024,46,978,1024,280,269,333,96,46,0,0,980,877,36.0,"1,893"
789,MIDDLEFIELD,-,1,80960,1713,115,2436,0,365,1747,144,1603,1625,482,355,568,18,202,122,0,181,116,10.0,307
790,MIDDLETON,-,1,80867,776,20,1741,0,559,1513,126,1387,1461,801,312,142,16,190,52,0,"1,180","1,359",47.0,"2,586"
791,MIDDLETON,-,2,66064,610,20,1468,17,410,2062,38,2024,1889,1073,310,344,60,102,173,0,"1,191","1,375",59.0,"2,625"
792,MILFORD,-,1,43488,1194,60,1602,0,7148,942,486,456,798,212,64,0,0,522,144,0,655,467,38.0,"1,160"
793,MILFORD,-,2,40992,876,5,2021,0,3275,538,149,389,496,89,58,70,0,279,42,0,877,743,42.0,"1,662"
794,MILFORD,-,3,35776,946,20,1248,0,5798,634,259,375,492,127,64,15,0,286,142,0,824,767,55.0,"1,646"
795,MILFORD,-,4,43312,880,75,1053,0,5525,1263,643,620,1157,418,48,30,0,661,106,0,758,531,76.0,"1,365"
796,MILFORD,-,5,35975,1106,40,756,0,2192,1571,512,1059,1349,531,13,188,0,617,222,0,"1,051","1,116",40.0,"2,207"
797,MILFORD,-,6,13744,306,65,249,0,2283,735,437,298,701,248,16,0,0,437,34,0,831,862,61.0,"1,754"
798,MILFORD,-,7,35843,1381,0,1437,0,2926,956,192,764,728,233,13,158,0,324,228,0,"1,000","1,027",41.0,"2,068"
799,MILFORD,-,8,13436,267,40,381,0,1394,441,274,167,439,156,0,0,0,283,2,0,972,928,64.0,"1,964"
800,MILLBURY,-,1,23590,532,12,419,54,187,653,17,636,595,407,67,59,0,62,58,0,933,782,23.0,"1,738"
801,MILLBURY,-,2,26926,703,6,432,0,118,854,159,695,825,330,84,207,0,204,29,0,"1,000","1,064",26.0,"2,090"
802,MILLBURY,-,3,42184,589,12,1331,216,634,1115,68,1047,1057,683,160,101,0,113,58,0,965,805,29.0,"1,799"
803,MILLBURY,-,4,32293,265,6,1549,216,743,951,68,883,922,386,142,326,0,68,29,0,921,719,21.0,"1,661"
804,MILLIS,-,1,119864,5756,116,2360,0,2432,2848,1144,1704,2840,596,444,656,0,1144,8,0,843,818,16.0,"1,677"
805,MILLIS,-,2,123706,5784,116,2627,0,2457,3002,1161,1841,2994,638,444,751,0,1161,8,0,859,809,18.0,"1,686"
806,MILLIS,-,3,120476,4691,87,3655,0,1921,2966,989,1977,2960,639,417,727,0,1177,6,0,892,774,21.0,"1,687"
807,MILLVILLE,-,1,43755,153,43,213,0,338,860,63,797,819,250,306,169,19,75,41,0,955,646,71.0,"1,672"
808,MILTON,-,1,30954,19446,0,3342,0,351,2772,273,2499,2547,825,96,606,726,294,225,0,828,742,38.0,"1,608"
809,MILTON,-,10,19438,22838,57,2268,0,3241,5994,468,5526,5827,4147,93,425,582,580,167,0,582,600,30.0,"1,212"
810,MILTON,-,2,103574,75003,588,7642,0,10369,8215,1173,7042,7595,3259,608,1371,729,1628,620,0,887,837,38.0,"1,762"
811,MILTON,-,3,109353,69305,882,8334,0,10344,7804,1063,6741,7031,3123,576,1263,487,1582,773,0,850,954,32.0,"1,836"
812,MILTON,-,4,27684,16581,0,2898,0,297,2365,237,2128,2173,717,80,513,605,258,192,0,851,801,52.0,"1,704"
